participantId,format,valid_strict,valid_loose,type,task
67c246023b44ca64d40ae45a,json5,False,False,tabular,writing
672d98919cc177d28c204e76,json5,False,False,tabular,writing
67f1a4f8dd44e7cd5adffa29,json5,False,False,tabular,writing
672ca6c0324ac26cdc0dd298,json5,False,False,tabular,writing
5b68c9eb87af310001584803,json5,False,False,tabular,writing
67e17bac09359e09118892b4,json5,False,False,tabular,writing
6606b31155457e4f162ecf5a,json5,True,True,tabular,writing
67d188bcc201cc08eac23f92,json5,False,False,tabular,writing
67d548b5aa5737666a77a6d2,json5,False,False,tabular,writing
6787d648d7b1963c661f9443,json5,False,False,tabular,writing
67d163e7b7bcc1e9718e01da,json5,True,True,tabular,writing
65fad673a546ab14baf2f8d3,json5,False,False,tabular,writing
6697c8b6d9d7baa7edd8c4d3,hjson,True,True,tabular,writing
678f0bb28ec3307e4f1afb78,hjson,True,True,tabular,writing
60a0b744298c64d46b63e893,hjson,False,False,tabular,writing
66cdfebcb908ea2717d06b6c,hjson,False,False,tabular,writing
56cb8858edf8da000b6df354,hjson,False,False,tabular,writing
667971a555af1f83d3f29ae7,hjson,True,True,tabular,writing
5c6414540821d30001046198,hjson,False,False,tabular,writing
667c18ace97ab6869cb1c50e,hjson,False,False,tabular,writing
67a754a5c8614c52a939d87b,hjson,True,True,tabular,writing
65cf6d8a589a67afcab54e6f,hjson,True,True,tabular,writing
67d7fa657f5ac0292a291a38,hjson,False,False,tabular,writing
61267b828ead584bcf092e35,hjson,False,False,tabular,writing
6577a27da9f5297d49f38e6f,hjson,True,True,tabular,writing
67d9788747176969d8d0fa1d,hjson,True,True,tabular,writing
67adb27bd5f5776fcb16da62,hjson,False,False,tabular,writing
6675c40cdc52b37294f0514e,hjson,False,False,tabular,writing
669b961e1c9cf30a26bb57d2,xml,False,True,tabular,writing
60721c2da01b3a616edba9a7,xml,False,True,tabular,writing
67d95269b47464c18da766ca,xml,False,True,tabular,writing
6740ae39809389d7da9de209,xml,True,True,tabular,writing
62fd14d7b1e0729dc8aadb79,xml,True,True,tabular,writing
67e4920c40c9561040ca01d0,xml,False,True,tabular,writing
677c52fe648cd68583dd3b1e,xml,True,True,tabular,writing
67eff2b1a264260e948a4d14,xml,False,True,tabular,writing
6501c0a2e788b5556c24569d,xml,False,True,tabular,writing
66bb6b7e0ccbed81f3ed30a8,xml,False,True,tabular,writing
6753746b1f8827e2bd586bf0,xml,False,True,tabular,writing
669a84e18da4349ece0ea67c,xml,False,True,tabular,writing
67ab57e88fd0774428bd1f32,xml,False,True,tabular,writing
677d32c679491be18090225b,xml,False,True,tabular,writing
67e5cf90b79d0874e1cf16b0,toml,True,True,tabular,writing
67d00f24466a67ba7e41228e,toml,False,False,tabular,writing
6672d878f68b9e349b56e871,toml,False,False,tabular,writing
66992f58a7964f557fc75f58,toml,False,False,tabular,writing
64275e53f51a5ed4f6b7d019,toml,False,False,tabular,writing
673d0377254c407e5da57f97,toml,True,True,tabular,writing
5e8a5a892f6f027054a83d88,toml,True,True,tabular,writing
67bf88cc763aae600b429a3e,toml,False,False,tabular,writing
63e5b3e89a3823139cb9d35e,toml,False,False,tabular,writing
667c2175b570aa694ce2f63c,toml,False,False,tabular,writing
67eefd0739d752c54dd52686,toml,False,False,tabular,writing
671b65fe04c301eb14263ba5,toml,False,False,tabular,writing
66a9285501ac98053902d481,toml,False,False,tabular,writing
665c5d94303fdf202ac9ded0,toml,True,True,tabular,writing
67f1c7bd6f1c4a3d8deae02f,toml,False,False,tabular,writing
67e25388d573ec2d5f1c8442,yaml,False,False,tabular,writing
67dc19c31078d1581e39e75a,yaml,True,True,tabular,writing
67adb520391eb17f214a50b4,yaml,True,True,tabular,writing
66049694dfb8828a8f3dce70,yaml,False,False,tabular,writing
6787e4bd2bf9557a90208f03,yaml,True,True,tabular,writing
67f184a3b82990251abd1592,yaml,False,False,tabular,writing
60fce3df91350150e2e88423,yaml,False,False,tabular,writing
67d29234dbfdb6668d124115,yaml,False,False,tabular,writing
671a519900a99ebc15a67672,yaml,False,False,tabular,writing
637d8ca00150ac6e71a34ec9,yaml,True,True,tabular,writing
67f3619e16d4ca195fbd1bd0,yaml,False,False,tabular,writing
67d1283c8f6169900d0072d2,yaml,True,True,tabular,writing
67f913a9b5c79e960807c7e3,yaml,False,False,tabular,writing
672003022f1b667a20157c45,yaml,True,True,tabular,writing
5d766978f47e6200019a2acf,yaml,True,True,tabular,writing
